line	date_planted	code	type	momsp	momid	dadsp1	dadid1	dadsp2	dadid2	plate	planted	germinated	date_scored	germinated_n1	transplanted_n	germinated_ndate1	germinated_ndate2	germinated_ndate3	germinated_ndate4	germinated_ndate5	germinated_ndate6	notes
31	2020-08-12	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	1	20	16	2020-09-08	15	12	1 (10/5)	Discard					
32	2020-08-12	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	2	20	18	2020-09-08	16	14 (2c)	2 plants in pot		1 (10/5)	Discard			
33	2020-08-12	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	3	20	18	2020-09-09	12	10 (2c)	1 (9/19)	3 (9/19)	5 (10/5)	Discard			
34	2020-08-12	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	4	20	19	2020-09-09	17	15 (2c)	1 (9/19)	2 (9/19)	1 (10/5)	Discard			
35	2020-08-12	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	5	20	21	2020-09-10	19	18 (1c)	2 (10/5)	Discard					
36	2020-08-12	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	6	20	16	2020-09-10	16	14 (2c)	0 (10/5)	Discard					
37	2020-08-12	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	7	20	17	2020-09-10	16	15 (1k)	1 (10/2)	Discard					
38	2020-08-12	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	8	20	18	2020-09-10	18	18	0 (10/5)	Discard					
39	2020-08-12	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	9	20	15	2020-09-10	13	11 (2c)	0 (9/19)	2 (9/19)	2 (10/5)	Discard			
40	2020-08-12	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	10	20	17	2020-09-10	16	14 (2c)	1 (9/19)	3 (9/19)	0 (10/2)	Discard			
41	2020-08-27	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	1	20	13	2020-09-10	13 (mold)	11 (1k, 1c)	0 (10/9)	Discard					
42	2020-08-27	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	2	20	12	2020-09-11	8 (mold)	8	2 plants in pot		3 (10/9)	Discard			
43	2020-08-27	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	3	20	15	2020-09-11	13	12 (1c)	2 (10/9)	Discard					
44	2020-08-27	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	4	20	18	2020-09-11	7 (mold)	7	10 (9/22)	8 (9/22)	2 plants in pot		0 (10/8)	Discard	
45	2020-08-27	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	5	20	15	2020-09-11	4 (mold)	4	11 (9/22)	10 (9/22)	0 (10/9)	Discard			
46	2020-08-27	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	6	20	17	2020-09-11	17	15 (2k)	0 (10/8)	Discard					
47	2020-08-27	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	7	20	18	2020-09-11	18	16 (2k)	0 (10/8)	Discard					
48	2020-08-27	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	8	20	20	2020-09-11	17	16 (1c)	2 (9/22)	1 (9/22)	1 (10/9)	3 (10/13)	Discard		
49	2020-08-27	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	9	20	15	2020-09-11	8	7 (1c)	6 (9/22)	7 (9/22)	2 plants in pot		0 (10/8)	Discard	
50	2020-08-27	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	10	20	15	2020-09-11	14	12 (2k)	1 (10/9)	1 (10/9)	Discard				
185	2020-09-25	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	11	20	19	2020-10-16	19	19	0 (10/29)	Discard					JP: changed momsp lydg > sarm
186	2020-09-25	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	12	20	18	2020-12-12	18	Discard							JP: changed momsp lydg > sarm
291	2020-10-23	SL1	mixed	sarm	89612-3	lydg	6682204-1	sarm	8961071-6	13	20	20	2021-01-30	20	Discard							
